date,home_team,away_team,tournament,city,country,neutral,home_elo,away_elo,elo_difference,home_rest_days,away_rest_days,rest_days_difference,home_score,away_score,target,result,home_matches_5,home_win_rate_5,home_draw_rate_5,home_loss_rate_5,home_avg_goals_for_5,home_avg_goals_against_5,home_avg_goal_difference_5,home_avg_points_5,home_clean_sheet_rate_5,home_scoring_rate_5,home_matches_10,home_win_rate_10,home_draw_rate_10,home_loss_rate_10,home_avg_goals_for_10,home_avg_goals_against_10,home_avg_goal_difference_10,home_avg_points_10,home_clean_sheet_rate_10,home_scoring_rate_10,away_matches_5,away_win_rate_5,away_draw_rate_5,away_loss_rate_5,away_avg_goals_for_5,away_avg_goals_against_5,away_avg_goal_difference_5,away_avg_points_5,away_clean_sheet_rate_5,away_scoring_rate_5,away_matches_10,away_win_rate_10,away_draw_rate_10,away_loss_rate_10,away_avg_goals_for_10,away_avg_goals_against_10,away_avg_goal_difference_10,away_avg_points_10,away_clean_sheet_rate_10,away_scoring_rate_10,h2h_matches,h2h_home_win_rate,h2h_draw_rate,h2h_away_win_rate,h2h_home_avg_goals,h2h_away_avg_goals,is_world_cup,is_world_cup_qualifier,is_friendly,is_nations_league,is_confederation_tournament
1904-04-09,Scotland,England,British Home Championship,Glasgow,Scotland,0,1648.374492,1643.589454,4.785038,14,28,-14,0,1,0,AWAY_WIN,5.0,0.4,0.4,0.2,1.0,1.0,0.0,1.6,0.2,0.8,10.0,0.4,0.5,0.1,2.0,1.2,0.8,1.7,0.1,0.9,5.0,0.6,0.2,0.2,2.4,1.2,1.2,2.0,0.2,1.0,10.0,0.5,0.4,0.1,2.3,1.0,1.3,1.9,0.4,0.9,5.0,0.4,0.4,0.2,2.2,1.6,0,0,0,0,0
1905-04-01,England,Scotland,British Home Championship,London,England,0,1650.265437,1623.275697,26.98974,5,14,-9,1,0,2,HOME_WIN,5.0,0.6,0.4,0.0,2.0,1.0,1.0,2.2,0.2,1.0,10.0,0.6,0.3,0.1,2.0,1.0,1.0,2.1,0.3,1.0,5.0,0.2,0.4,0.4,1.4,1.2,0.2,1.0,0.2,0.8,10.0,0.4,0.3,0.3,1.7,1.2,0.5,1.5,0.2,0.8,5.0,0.2,0.4,0.4,1.4,2.0,0,0,0,0,0
1906-04-07,Scotland,England,British Home Championship,Glasgow,Scotland,0,1604.539804,1666.650888,-62.111084,21,19,2,2,1,2,HOME_WIN,5.0,0.4,0.0,0.6,1.2,1.2,0.0,1.2,0.4,0.6,10.0,0.3,0.2,0.5,1.0,1.2,-0.2,1.1,0.2,0.6,5.0,0.8,0.2,0.0,2.2,0.4,1.8,2.6,0.6,1.0,10.0,0.7,0.2,0.1,2.0,0.8,1.2,2.3,0.4,1.0,5.0,0.2,0.4,0.4,1.2,1.4,0,0,0,0,0
1907-04-06,England,Scotland,British Home Championship,Newcastle,England,0,1651.682652,1602.575322,49.10733,19,21,-2,1,1,1,DRAW,5.0,0.6,0.2,0.2,1.8,0.6,1.2,2.0,0.6,1.0,10.0,0.7,0.2,0.1,1.8,0.6,1.2,2.3,0.5,1.0,5.0,0.6,0.0,0.4,1.2,0.8,0.4,1.8,0.4,0.6,10.0,0.4,0.1,0.5,1.2,1.0,0.2,1.3,0.3,0.6,5.0,0.4,0.2,0.4,1.2,1.2,0,0,0,0,0
1908-04-04,Scotland,England,British Home Championship,Glasgow,Scotland,0,1614.432799,1657.917177,-43.484378,21,19,2,1,1,1,DRAW,5.0,0.6,0.2,0.2,2.2,0.6,1.6,2.0,0.4,0.8,10.0,0.6,0.1,0.3,1.8,0.7,1.1,1.9,0.4,0.7,5.0,0.6,0.4,0.0,2.6,0.8,1.8,2.2,0.2,1.0,10.0,0.7,0.2,0.1,2.4,0.7,1.7,2.3,0.4,1.0,5.0,0.4,0.2,0.4,1.0,1.0,0,0,0,0,0
1908-08-15,Uruguay,Argentina,Copa Lipton,Montevideo,Uruguay,0,1482.522018,1508.334566,-25.812548,60,60,0,2,2,1,DRAW,5.0,0.2,0.2,0.6,0.8,2.4,-1.6,0.8,0.2,0.4,5.0,0.2,0.2,0.6,0.8,2.4,-1.6,0.8,0.2,0.4,5.0,0.4,0.2,0.4,1.2,1.0,0.2,1.4,0.4,0.6,6.0,0.5,0.166667,0.333333,2.0,0.833333,1.166667,1.666667,0.5,0.666667,5.0,0.2,0.2,0.6,0.8,2.4,0,0,0,0,0
1908-09-13,Argentina,Uruguay,Copa Newton,Buenos Aires,Argentina,0,1509.881682,1480.974902,28.90678,29,29,0,2,1,2,HOME_WIN,5.0,0.4,0.4,0.2,1.2,0.8,0.4,1.6,0.4,0.6,7.0,0.428571,0.285714,0.285714,2.0,1.0,1.0,1.571429,0.428571,0.714286,5.0,0.2,0.4,0.4,1.2,1.6,-0.4,1.0,0.2,0.6,6.0,0.166667,0.333333,0.5,1.0,2.333333,-1.333333,0.833333,0.166667,0.5,5.0,0.4,0.4,0.2,1.6,1.2,0,0,0,0,0
1908-10-04,Argentina,Uruguay,Copa Premio Honor Argentino,Buenos Aires,Argentina,0,1516.845877,1474.010707,42.83517,21,21,0,0,1,0,AWAY_WIN,5.0,0.6,0.2,0.2,1.6,1.0,0.6,2.0,0.2,0.8,8.0,0.5,0.25,0.25,2.0,1.0,1.0,1.75,0.375,0.75,5.0,0.0,0.4,0.6,0.8,1.6,-0.8,0.4,0.2,0.6,7.0,0.142857,0.285714,0.571429,1.0,2.285714,-1.285714,0.714286,0.142857,0.571429,5.0,0.6,0.4,0.0,1.6,0.8,0,0,0,0,0
1909-04-03,England,Scotland,British Home Championship,London,England,0,1685.564092,1601.928831,83.635261,19,19,0,2,0,2,HOME_WIN,5.0,1.0,0.0,0.0,5.6,0.2,5.4,3.0,0.8,1.0,10.0,0.8,0.2,0.0,4.6,0.6,4.0,2.6,0.4,1.0,5.0,0.6,0.2,0.2,3.0,1.0,2.0,2.0,0.4,1.0,10.0,0.6,0.2,0.2,2.2,0.8,1.4,2.0,0.4,0.9,5.0,0.4,0.4,0.2,1.0,0.8,0,0,0,0,0
1909-08-15,Argentina,Uruguay,Copa Lipton,Buenos Aires,Argentina,0,1503.450693,1487.405891,16.044802,60,60,0,2,1,2,HOME_WIN,5.0,0.6,0.2,0.2,1.6,1.0,0.6,2.0,0.2,0.8,9.0,0.444444,0.222222,0.333333,1.777778,1.0,0.777778,1.555556,0.333333,0.666667,5.0,0.2,0.2,0.6,1.0,1.6,-0.6,0.8,0.2,0.8,8.0,0.25,0.25,0.5,1.0,2.0,-1.0,1.0,0.25,0.625,5.0,0.6,0.2,0.2,1.6,1.0,0,0,0,0,0
