match_id,utc_date,local_date,status,stage,matchday,group,home_team_id,home_team,away_team_id,away_team,home_score,away_score,winner
537343,2026-06-24T22:00:00Z,2026-06-25 06:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_C,8873,Scotland,764,Brazil,,,
537331,2026-06-25T01:00:00Z,2026-06-25 09:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_A,798,Czechia,769,Mexico,,,
537332,2026-06-25T01:00:00Z,2026-06-25 09:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_A,774,South Africa,772,South Korea,,,
537355,2026-06-25T20:00:00Z,2026-06-26 04:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_E,791,Ecuador,759,Germany,,,
537356,2026-06-25T20:00:00Z,2026-06-26 04:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_E,9460,Curaçao,1935,Ivory Coast,,,
537361,2026-06-25T23:00:00Z,2026-06-26 07:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_F,802,Tunisia,8601,Netherlands,,,
537362,2026-06-25T23:00:00Z,2026-06-26 07:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_F,766,Japan,792,Sweden,,,
537349,2026-06-26T02:00:00Z,2026-06-26 10:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_D,803,Turkey,771,United States,,,
537350,2026-06-26T02:00:00Z,2026-06-26 10:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_D,761,Paraguay,779,Australia,,,
537395,2026-06-26T19:00:00Z,2026-06-27 03:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_I,8872,Norway,773,France,,,
537396,2026-06-26T19:00:00Z,2026-06-27 03:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_I,804,Senegal,8062,Iraq,,,
537373,2026-06-27T00:00:00Z,2026-06-27 08:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_H,758,Uruguay,760,Spain,,,
537374,2026-06-27T00:00:00Z,2026-06-27 08:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_H,1930,Cape Verde Islands,801,Saudi Arabia,,,
537367,2026-06-27T03:00:00Z,2026-06-27 11:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_G,783,New Zealand,805,Belgium,,,
537368,2026-06-27T03:00:00Z,2026-06-27 11:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_G,825,Egypt,840,Iran,,,
537413,2026-06-27T21:00:00Z,2026-06-28 05:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_L,1836,Panama,770,England,,,
537414,2026-06-27T21:00:00Z,2026-06-28 05:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_L,799,Croatia,763,Ghana,,,
537407,2026-06-27T23:30:00Z,2026-06-28 07:30:00+0800,TIMED,GROUP_STAGE,3,GROUP_K,818,Colombia,765,Portugal,,,
537408,2026-06-27T23:30:00Z,2026-06-28 07:30:00+0800,TIMED,GROUP_STAGE,3,GROUP_K,1934,Congo DR,8070,Uzbekistan,,,
537401,2026-06-28T02:00:00Z,2026-06-28 10:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_J,8049,Jordan,762,Argentina,,,
537402,2026-06-28T02:00:00Z,2026-06-28 10:00:00+0800,TIMED,GROUP_STAGE,3,GROUP_J,778,Algeria,816,Austria,,,
537417,2026-06-28T19:00:00Z,2026-06-29 03:00:00+0800,TIMED,LAST_32,,,,,,,,,
537423,2026-06-29T17:00:00Z,2026-06-30 01:00:00+0800,TIMED,LAST_32,,,,,,,,,
537415,2026-06-29T20:30:00Z,2026-06-30 04:30:00+0800,TIMED,LAST_32,,,,,,,,,
537418,2026-06-30T01:00:00Z,2026-06-30 09:00:00+0800,TIMED,LAST_32,,,,,,,,,
537424,2026-06-30T17:00:00Z,2026-07-01 01:00:00+0800,TIMED,LAST_32,,,,,,,,,
537416,2026-06-30T21:00:00Z,2026-07-01 05:00:00+0800,TIMED,LAST_32,,,,,,,,,
537425,2026-07-01T01:00:00Z,2026-07-01 09:00:00+0800,TIMED,LAST_32,,,,,,,,,
537426,2026-07-01T16:00:00Z,2026-07-02 00:00:00+0800,TIMED,LAST_32,,,,,,,,,
537422,2026-07-01T20:00:00Z,2026-07-02 04:00:00+0800,TIMED,LAST_32,,,,,,,,,
537421,2026-07-02T00:00:00Z,2026-07-02 08:00:00+0800,TIMED,LAST_32,,,,,,,,,
537420,2026-07-02T19:00:00Z,2026-07-03 03:00:00+0800,TIMED,LAST_32,,,,,,,,,
537419,2026-07-02T23:00:00Z,2026-07-03 07:00:00+0800,TIMED,LAST_32,,,,,,,,,
537429,2026-07-03T03:00:00Z,2026-07-03 11:00:00+0800,TIMED,LAST_32,,,,,,,,,
537428,2026-07-03T18:00:00Z,2026-07-04 02:00:00+0800,TIMED,LAST_32,,,,,,,,,
537427,2026-07-03T22:00:00Z,2026-07-04 06:00:00+0800,TIMED,LAST_32,,,,,,,,,
537430,2026-07-04T01:30:00Z,2026-07-04 09:30:00+0800,TIMED,LAST_32,,,,,,,,,
537376,2026-07-04T17:00:00Z,2026-07-05 01:00:00+0800,TIMED,LAST_16,,,,,,,,,
537375,2026-07-04T21:00:00Z,2026-07-05 05:00:00+0800,TIMED,LAST_16,,,,,,,,,
537377,2026-07-05T20:00:00Z,2026-07-06 04:00:00+0800,TIMED,LAST_16,,,,,,,,,
537378,2026-07-06T00:00:00Z,2026-07-06 08:00:00+0800,TIMED,LAST_16,,,,,,,,,
537379,2026-07-06T19:00:00Z,2026-07-07 03:00:00+0800,TIMED,LAST_16,,,,,,,,,
537380,2026-07-07T00:00:00Z,2026-07-07 08:00:00+0800,TIMED,LAST_16,,,,,,,,,
537381,2026-07-07T16:00:00Z,2026-07-08 00:00:00+0800,TIMED,LAST_16,,,,,,,,,
537382,2026-07-07T20:00:00Z,2026-07-08 04:00:00+0800,TIMED,LAST_16,,,,,,,,,
537383,2026-07-09T20:00:00Z,2026-07-10 04:00:00+0800,TIMED,QUARTER_FINALS,,,,,,,,,
537384,2026-07-10T19:00:00Z,2026-07-11 03:00:00+0800,TIMED,QUARTER_FINALS,,,,,,,,,
537385,2026-07-11T21:00:00Z,2026-07-12 05:00:00+0800,TIMED,QUARTER_FINALS,,,,,,,,,
537386,2026-07-12T01:00:00Z,2026-07-12 09:00:00+0800,TIMED,QUARTER_FINALS,,,,,,,,,
537387,2026-07-14T19:00:00Z,2026-07-15 03:00:00+0800,TIMED,SEMI_FINALS,,,,,,,,,
537388,2026-07-15T19:00:00Z,2026-07-16 03:00:00+0800,TIMED,SEMI_FINALS,,,,,,,,,
537389,2026-07-18T21:00:00Z,2026-07-19 05:00:00+0800,TIMED,THIRD_PLACE,,,,,,,,,
537390,2026-07-19T19:00:00Z,2026-07-20 03:00:00+0800,TIMED,FINAL,,,,,,,,,
